"표준코드","단축코드","한글 종목명","한글 종목약명","영문 종목명","상장일","시장구분","증권구분","소속부","주식종류","액면가","상장주식수"
"KR7098120009","098120","(주)마이크로컨텍솔루션","마이크로컨텍솔","Micro Contact Solution Co.,Ltd.","2008/09/23","KOSDAQ","주권","벤처기업부","보통주","500","8,312,766"
"KR7131100000","131100","(주)스카이이앤엠","스카이이앤엠","SKY E&M Co., Ltd.","2011/06/14","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","100","41,281,205"
"KR7009520008","009520","(주)포스코엠텍","포스코엠텍","POSCO M-TECH CO.,LTD.","1997/11/10","KOSDAQ","주권","우량기업부","보통주","500","41,642,703"
"KR7095570008","095570","AJ네트웍스보통주","AJ네트웍스","AJ Networks Co.,Ltd.","2015/08/21","KOSPI","주권","","보통주","1,000","46,822,295"
"KR7006840003","006840","AK홀딩스보통주","AK홀딩스","AK Holdings, Inc.","1999/08/11","KOSPI","주권","","보통주","5,000","13,247,561"
"KR7282330000","282330","BGF리테일보통주","BGF리테일","BGF Retail","2017/12/08","KOSPI","주권","","보통주","1,000","17,283,906"
"KR7027410000","027410","BGF보통주","BGF","BGF","2014/05/19","KOSPI","주권","","보통주","1,000","95,716,791"
"KR7138930003","138930","BNK금융지주보통주","BNK금융지주","BNK Financial Group Inc.","2011/03/30","KOSPI","주권","","보통주","5,000","325,935,246"
"KR7001461003","001465","BYC1우선주","BYC우","BYC(1P)","1989/09/05","KOSPI","주권","","구형우선주","5,000","215,385"
"KR7001460005","001460","BYC보통주","BYC","BYC","1975/06/02","KOSPI","주권","","보통주","5,000","624,615"
"KR7001041003","001045","CJ1우선주","CJ우","CJ(1P)","1989/08/18","KOSPI","주권","","구형우선주","5,000","2,260,223"
"KR700104K010","00104K","CJ4우선주(전환)","CJ4우(전환)","CJ(4PC)","2019/08/09","KOSPI","주권","","신형우선주","5,000","4,226,512"
"KR7001040005","001040","CJ보통주","CJ","CJ Corp.","1973/06/29","KOSPI","주권","","보통주","5,000","29,176,998"
"KR7011151008","011155","CJ씨푸드1우선주","CJ씨푸드1우","CJSEAFOODCORPORATION(1P)","1990/01/13","KOSPI","주권","","구형우선주","500","200,000"
"KR7011150000","011150","CJ씨푸드보통주","CJ씨푸드","CJSEAFOODCORPORATION","1988/11/26","KOSPI","주권","","보통주","500","35,930,773"
"KR7058820002","058820","CMG제약","CMG제약","CMG Pharmaceutical Co., Ltd.","2001/08/31","KOSDAQ","주권","우량기업부","보통주","500","138,892,244"
"KR7000590000","000590","CS홀딩스보통주","CS홀딩스","CSHOLDINGS","1975/12/22","KOSPI","주권","","보통주","5,000","1,154,482"
"KR7012030003","012030","DB Inc.보통주","DB","DB Inc.","1993/01/06","KOSPI","주권","","보통주","500","201,173,933"
"KR7016610008","016610","DB금융투자보통주","DB금융투자","DB Financial Investment Co., LTD.","1988/06/27","KOSPI","주권","","보통주","5,000","42,446,389"
"KR7005830005","005830","DB손해보험보통주","DB손해보험","DB INSURANCE","1973/06/28","KOSPI","주권","","보통주","500","70,800,000"
"KR7000991000","000995","DB하이텍1우선주","DB하이텍1우","DB HiTek Co.,LTD(1P)","2007/05/21","KOSPI","주권","","구형우선주","5,000","112,316"
"KR7000990002","000990","DB하이텍보통주","DB하이텍","DB HiTek Co.,LTD","1975/12/12","KOSPI","주권","","보통주","5,000","44,398,588"
"KR7139130009","139130","DGB금융지주보통주","DGB금융지주","DGB Financial Group","2011/06/07","KOSPI","주권","","보통주","5,000","169,145,833"
"KR7001530005","001530","DI동일보통주","DI동일","DI DONGIL","1964/01/04","KOSPI","주권","","보통주","5,000","2,510,655"
"KR7000211003","000215","DL1우선주","DL우","DL(1P)","1989/08/21","KOSPI","주권","","구형우선주","5,000","1,686,115"
"KR7001880004","001880","DL건설보통주","DL건설","DLConstruction","1977/12/22","KOSPI","주권","","보통주","5,000","22,053,284"
"KR7000210005","000210","DL보통주","DL","DL","1976/02/02","KOSPI","주권","","보통주","5,000","20,955,884"
"KR737550K011","37550K","DL이앤씨1우선주","DL이앤씨우","DL E&C CO., LTD.(1P)","2021/01/25","KOSPI","주권","","종류주권","5,000","2,113,885"
"KR7375500006","375500","DL이앤씨보통주","DL이앤씨","DL E&C CO., LTD.","2021/01/25","KOSPI","주권","","보통주","5,000","19,358,738"
"KR7155660004","155660","DSR보통주","DSR","DSR CORP","2013/05/15","KOSPI","주권","","보통주","500","16,000,000"
"KR7069730000","069730","DSR제강보통주","DSR제강","DSRWIRECORP","2003/01/28","KOSPI","주권","","보통주","500","14,400,000"
"KR7017940008","017940","E1보통주","E1","E1Corporation","1997/08/27","KOSPI","주권","","보통주","5,000","6,860,000"
"KR7365550003","365550","ESR켄달스퀘어리츠보통주","ESR켄달스퀘어리츠","ESR KENDALL SQUARE REIT","2020/12/23","KOSPI","부동산투자회사","","보통주","1,000","143,259,000"
"KR7050120005","050120","ES큐브","ES큐브","ES CUBE","2002/04/25","KOSDAQ","주권","중견기업부","보통주","5,000","13,564,086"
"KR7383220001","383220","F&F보통주","F&F","F&F","2021/05/21","KOSPI","주권","","보통주","500","7,661,415"
"KR7007700008","007700","F&F홀딩스","F&F홀딩스","F&F Holdings","1984/10/04","KOSPI","주권","","보통주","500","7,738,585"
"KR7078931003","078935","GS1우선주","GS우","GS Holdings(1P)","2004/08/05","KOSPI","주권","","구형우선주","5,000","1,784,826"
"KR7006360002","006360","GS건설보통주","GS건설","GS Engineering & Construction Corp","1981/08/03","KOSPI","주권","","보통주","5,000","85,490,868"
"KR7078930005","078930","GS보통주","GS","GS Holdings","2004/08/05","KOSPI","주권","","보통주","5,000","92,915,378"
"KR7012630000","012630","HDC보통주","HDC","HDC HOLDINGS CO.,Ltd","1996/10/16","KOSPI","주권","","보통주","5,000","59,741,721"
"KR7294870001","294870","HDC현대산업개발보통주","HDC현대산업개발","HYUNDAI DEVELOPMENT COMPANY","2018/06/12","KOSPI","주권","","보통주","5,000","65,907,330"
"KR7003560000","003560","IHQ보통주","IHQ","IHQ","1973/12/18","KOSPI","주권","","보통주","500","146,235,748"
"KR7175330000","175330","JB금융지주보통주","JB금융지주","JB Financial Group Co., Ltd.","2013/07/18","KOSPI","주권","","보통주","5,000","196,982,894"
"KR7234080000","234080","JW생명과학보통주","JW생명과학","JW LIFESCIENCE","2016/10/27","KOSPI","주권","","보통주","2,500","15,834,554"
"KR7001061001","001065","JW중외제약1우선주","JW중외제약우","JWPHARMACEUTICAL(1P)","1994/10/21","KOSPI","주권","","구형우선주","2,500","177,486"
"KR7001062009","001067","JW중외제약2우선주(신형)","JW중외제약2우B","JWPHARMACEUTICAL(2PB)","1998/04/13","KOSPI","주권","","신형우선주","2,500","93,028"
"KR7001060003","001060","JW중외제약보통주","JW중외제약","JWPHARMACEUTICAL","1976/06/14","KOSPI","주권","","보통주","2,500","21,539,926"
"KR7096760004","096760","JW홀딩스 보통주","JW홀딩스","JW HOLDINGS CORPORATION","2007/07/31","KOSPI","주권","","보통주","500","68,441,182"
"KR7105560007","105560","KB금융지주 보통주","KB금융","KB Financial Group","2008/10/10","KOSPI","주권","","보통주","5,000","415,807,920"
"KR7024120008","024120","KB오토시스","KB오토시스","KB Autosys Co.,Ltd","1994/12/07","KOSDAQ","주권","우량기업부","보통주","500","11,500,000"
"KR7009070004","009070","KCTC 보통주","KCTC","KCTC","1978/09/29","KOSPI","주권","","보통주","500","30,000,000"
"KR7044180008","044180","KD","KD","KD Corporation","2000/11/16","KOSDAQ","주권","중견기업부","보통주","500","16,525,360"
"KR7016381006","016385","KG동부제철1우선주","KG동부제철우","KG DONGBUSTEEL(1P)","1989/09/21","KOSPI","주권","","구형우선주","5,000","53,385"
"KR7016380008","016380","KG동부제철보통주","KG동부제철","KG DONGBUSTEEL","1986/02/03","KOSPI","주권","","보통주","5,000","100,008,897"
"KR7001390004","001390","KG케미칼보통주","KG케미칼","KG Chemical","1989/08/25","KOSPI","주권","","보통주","5,000","13,866,096"
"KR7033180001","033180","KH 필룩스보통주","KH 필룩스","KH FEELUX Co.,Ltd.","2001/12/26","KOSPI","주권","","보통주","500","133,293,837"
"KR7001940006","001940","KISCO홀딩스보통주","KISCO홀딩스","KISCO Holdings","1989/11/13","KOSPI","주권","","보통주","1,000","18,476,380"
"KR7025000001","025000","KPX케미칼보통주","KPX케미칼","KPXCHEMICAL","1994/12/27","KOSPI","주권","","보통주","5,000","4,840,000"
"KR7092230002","092230","KPX홀딩스보통주","KPX홀딩스","KPXHOLDINGS","2006/10/12","KOSPI","주권","","보통주","5,000","4,224,646"
"KR7000040006","000040","KR모터스보통주","KR모터스","KR MOTORS","1976/05/25","KOSPI","주권","","보통주","500","96,137,368"
"KR7093050003","093050","LF보통주","LF","LF","2006/12/01","KOSPI","주권","","보통주","5,000","29,240,000"
"KR7003551009","003555","LG1우선주","LG우","LG Corp.(1P)","1988/11/18","KOSPI","주권","","구형우선주","5,000","3,021,620"
"KR7034220004","034220","LG디스플레이보통주","LG디스플레이","LG Display","2004/07/23","KOSPI","주권","","보통주","5,000","357,815,700"
"KR7003550001","003550","LG보통주","LG","LG Corp.","1970/02/13","KOSPI","주권","","보통주","5,000","157,300,993"
"KR7001120005","001120","LG상사보통주","LG상사","LGInternational","1976/01/30","KOSPI","주권","","보통주","5,000","38,760,000"
"KR7051901007","051905","LG생활건강1우선주","LG생활건강우","LGHOUSEHOLD&HEALTHCARE,LTD(1P)","2001/04/25","KOSPI","주권","","구형우선주","5,000","2,099,697"
"KR7051900009","051900","LG생활건강보통주","LG생활건강","LGHOUSEHOLD&HEALTHCARE,LTD","2001/04/25","KOSPI","주권","","보통주","5,000","15,618,197"
"KR7032640005","032640","LG유플러스보통주","LG유플러스","LG Uplus","2008/04/21","KOSPI","주권","","보통주","5,000","436,611,361"
"KR7011070000","011070","LG이노텍보통주","LG이노텍","LG Innotek","2008/07/24","KOSPI","주권","","보통주","5,000","23,667,107"
"KR7066571001","066575","LG전자1우선주","LG전자우","LGELECTRONICS(1P)","2002/04/22","KOSPI","주권","","구형우선주","5,000","17,185,992"
"KR7066570003","066570","LG전자보통주","LG전자","LGELECTRONICS","2002/04/22","KOSPI","주권","","보통주","5,000","163,647,814"
"KR7051911006","051915","LG화학1우선주","LG화학우","LGCHEM,LTD(1P)","2001/04/25","KOSPI","주권","","구형우선주","5,000","7,688,800"
"KR7051910008","051910","LG화학보통주","LG화학","LGCHEM,LTD","2001/04/25","KOSPI","주권","","보통주","5,000","70,592,343"
"KR7079550000","079550","LIG넥스원보통주","LIG넥스원","LIG Nex1 Co., Ltd.","2015/10/02","KOSPI","주권","","보통주","5,000","22,000,000"
"KR7010120004","010120","LS ELECTRIC보통주","LS ELECTRIC","LS ELECTRIC","1994/07/11","KOSPI","주권","","보통주","5,000","30,000,000"
"KR7000680009","000680","LS네트웍스보통주","LS네트웍스","LSNetworks","1973/11/15","KOSPI","주권","","보통주","5,000","78,803,016"
"KR7006260004","006260","LS보통주","LS","LS","1977/06/30","KOSPI","주권","","보통주","5,000","32,200,000"
"KR7023150006","023150","MH에탄올보통주","MH에탄올","MHETHANOL","1996/12/24","KOSPI","주권","","보통주","500","7,378,526"
"KR7035420009","035420","NAVER보통주","NAVER","NAVER","2008/11/28","KOSPI","주권","","보통주","100","164,263,395"
"KR7181710005","181710","NHN보통주","NHN","NHN","2013/08/29","KOSPI","주권","","보통주","500","19,565,025"
"KR7338100001","338100","NH프라임리츠보통주","NH프라임리츠","NH Prime REIT","2019/12/05","KOSPI","부동산투자회사","","보통주","500","18,660,000"
"KR7034310003","034310","NICE보통주","NICE","NICEHoldings","2004/02/04","KOSPI","주권","","보통주","500","37,882,300"
"KR7008260002","008260","NI스틸보통주","NI스틸","NI STEEL","1975/06/28","KOSPI","주권","","보통주","500","28,600,117"
